Lintasan Trayek;2003;2004;2006;2007;2008;2009;2010;2011;2012;2013;2016;2018
Abdul Muis ?Cicaheum Via Binong;369;369;369;369;369;355;355;355;355;355;355;355
Abdul Muis-Cicaheum Via Aceh;100;100;100;100;100;100;100;100;100;100;100;100
Abdul Muis-Dago;273;273;273;273;273;271;271;271;271;271;271;271
Abdul Muis-Ledeng;245;245;245;245;245;245;245;245;245;245;245;245
Abdul Muis-Elang;101;101;101;101;101;101;101;101;101;101;101;101
Cicaheum-Ledeng;214;214;214;214;214;214;214;214;214;214;206;214
Cicaheum-Ciroyom;206;206;206;206;206;206;206;206;206;206;200;206
Cicaheum-Ciwastra-Derwati;200;200;200;200;200;200;200;200;200;200;150;200
Cicaheum-Cibaduyut;150;150;150;150;150;150;150;150;150;150;52;150
Stasiun Hall-Dago;52;52;52;52;52;52;52;52;52;52;150;52
Stasiun Hall-Sadang Serang;150;150;150;150;150;150;150;150;150;150;53;150
Stasiun Hall-Ciumbuleuit-Via Eykman;60;60;60;60;60;53;53;53;53;53;30;53
Stasiun Hall-Ciumbuleuit-Via Cihampelas;40;40;40;40;40;30;30;30;30;30;200;30
Stasiun Hall-Gede Bage;200;200;200;200;200;200;200;200;200;200;80;200
Stasiun Hall-Sarijadi;75;75;75;75;75;80;80;80;80;80;53;80
Stasiun Hall-Gunung Batu;55;55;55;55;55;53;53;53;53;53;125;53
Margahayu Raya-Ledeng;125;125;125;125;125;125;125;125;125;125;201;125
Dago-Riung Bandung;201;201;201;201;201;201;201;201;201;201;140;201
Pasar Induk Caringin-Dago;140;140;140;140;140;140;140;140;140;140;155;140
Panghegar Permai-Dipati Ukur-Dago;155;155;155;155;155;155;155;155;155;155;88;155
Ciroyom-Sarijadi Via Sukajdi;97;97;97;97;97;88;88;88;88;88;31;88
Ciroyom-Sarijadi Via Setrasari;NULL;NULL;NULL;NULL;NULL;31;31;31;31;31;115;31
Ciroyom-Bumi Asri;115;115;115;115;115;115;115;115;115;115;140;115
Ciroyom-Cikudapateuh;125;125;125;125;125;140;140;140;140;140;276;140
Sederhana-Cipagalo;276;276;276;276;276;276;276;276;276;276;63;276
Sederhana-Cijerah;67;67;67;67;67;63;63;63;63;63;55;63
Sederhana-Cimindi;55;55;55;55;55;55;55;55;55;55;32;55
Ciwastra-Ujung Berung;32;32;32;32;32;32;32;32;32;32;82;32
Cisitu-Tegallega;82;82;82;82;82;82;82;82;82;82;200;82
Cijerah-Ciwastra -Derwati;200;200;200;200;200;200;200;200;200;200;115;200
Elang-Gede Bage-Ujung Berung;115;115;115;115;115;115;115;115;115;115;25;115
Abdul Muis-Mengger;25;25;25;25;25;25;25;25;25;25;300;25
Cicadas-Elang;300;300;300;300;300;300;300;300;300;300;160;300
Antapani-Ciroyom;160;160;160;160;160;160;160;160;160;160;200;160
Cicadas-Cibiru-Panyileukan;200;200;200;200;200;200;200;200;200;200;125;200
Bumi Panyileukan-Sekemirung;125;125;125;125;125;125;125;125;125;125;200;125
Sadang Serang-Caringin;200;200;200;200;200;200;200;200;200;200;201;200
Cbaduyut-Karang Setra;201;201;201;201;201;201;201;201;201;201;32;201
Cibogo-Elang;35;35;35;35;35;32;32;32;32;32;NULL;NULL
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
